iter	MultiClass
0	1.353273164
1	1.07220937
2	0.8871100536
3	0.7511432932
4	0.642984175
5	0.5577483788
6	0.4874968084
7	0.4287491969
8	0.3803944886
9	0.3391363231
10	0.3025545006
11	0.2713133332
12	0.2444825324
13	0.2206296585
14	0.2000288279
15	0.1822419369
16	0.1659551772
17	0.1523424019
18	0.1397460826
19	0.1278053792
20	0.1175530633
21	0.1098222635
22	0.1013557566
23	0.09393099701
24	0.08706256974
25	0.08130193634
26	0.07637769865
27	0.07226286854
28	0.06778330722
29	0.06403031473
30	0.06017915014
31	0.05695603079
32	0.05381175263
33	0.0511427455
34	0.04861594945
35	0.04636163788
36	0.04435611474
37	0.04249145118
38	0.04051579792
39	0.03887244121
40	0.03734992935
41	0.03637580128
42	0.03506123405
43	0.03405287167
44	0.03314972216
45	0.03204720132
46	0.0310645302
47	0.03005635863
48	0.0291625418
49	0.02843277704
50	0.0277775713
51	0.02721726032
52	0.02657702015
53	0.02606308423
54	0.02555433893
55	0.02508092853
56	0.02457967424
57	0.02412439047
58	0.02373736853
59	0.02329689877
60	0.02301205344
61	0.0225346495
62	0.02186673389
63	0.02156195827
64	0.02123998033
65	0.02070880488
66	0.02055928486
67	0.02015055644
68	0.01983470721
69	0.01937352654
70	0.01906033799
71	0.0187365311
72	0.01843833015
73	0.01814214226
74	0.01792410871
75	0.01763904317
76	0.01735624083
77	0.01703666186
78	0.01679697514
79	0.01651769213
80	0.0163513543
81	0.01617366795
82	0.01589665735
83	0.01572028876
84	0.0155356289
85	0.01545029529
86	0.01533652743
87	0.01512422253
88	0.01503095805
89	0.01486323606
90	0.01473937502
91	0.01453102284
92	0.01431685305
93	0.01417745519
94	0.01404520266
95	0.01391364109
96	0.01381041596
97	0.01368716433
98	0.01348105603
99	0.01332089597
100	0.01312564156
101	0.01299061656
102	0.01284631368
103	0.01275346494
104	0.01269331873
105	0.01255224838
106	0.01241111755
107	0.01230040696
108	0.01215406295
109	0.01203263091
110	0.01194948173
111	0.0118454855
112	0.01170869185
113	0.01158726826
114	0.01149076962
115	0.01140509039
116	0.01128044896
117	0.0112195112
118	0.01115288821
119	0.01105857411
120	0.01099997725
121	0.0109383924
122	0.01088534386
123	0.01082274413
124	0.01071290201
125	0.01063521092
126	0.01057779274
127	0.01052463994
128	0.01043159599
129	0.01034173812
130	0.01029157125
131	0.01021463737
132	0.01016748504
133	0.01011378809
134	0.01007691963
135	0.009994804822
136	0.009910795556
137	0.009866932273
138	0.009809107404
139	0.00971357043
140	0.00962700012
141	0.009575696652
142	0.009527562515
143	0.009475263971
144	0.009408809281
145	0.009381762894
146	0.009359266428
147	0.009327901678
148	0.009311038845
149	0.009266278954
150	0.009188941012
151	0.009153012641
152	0.009085356291
153	0.009052779306
154	0.008997680526
155	0.008932809783
156	0.008897940386
157	0.008843900418
158	0.008797067057
159	0.008774687394
160	0.008726960415
161	0.008684964956
162	0.008646746031
163	0.008622057166
164	0.008591492367
165	0.008557134687
166	0.008495253291
167	0.00846901486
168	0.008416893955
169	0.00839016649
170	0.008347214643
171	0.008292483345
172	0.008263805567
173	0.008230372742
174	0.008153600889
175	0.008132786968
176	0.008102083159
177	0.008041466699
178	0.007987117105
179	0.007946962768
180	0.007924946589
181	0.007902986018
182	0.007863657196
183	0.007835070874
184	0.007802867481
185	0.007757411813
186	0.007704772924
187	0.007668432405
188	0.007626284578
189	0.007595843679
190	0.007563245131
191	0.007512783371
192	0.007494328183
193	0.00746276902
194	0.007416779246
195	0.00737131202
196	0.007341127295
197	0.007299101329
198	0.007261496516
199	0.007231076764
200	0.007212879454
201	0.007172210994
202	0.007152198322
203	0.007136191302
204	0.007118849994
205	0.007083717532
206	0.007062500214
207	0.007039389053
208	0.006997561572
209	0.006976947509
210	0.006948133163
211	0.006925841467
212	0.006907946607
213	0.006877200211
214	0.006840390727
215	0.006823371568
216	0.006796710813
217	0.006775863958
218	0.006751806309
219	0.006724872386
220	0.006706039047
221	0.006686486659
222	0.006639120966
223	0.006623342701
224	0.006603653244
225	0.00658242902
226	0.00656272893
227	0.006532772795
228	0.006519577977
229	0.006502184599
230	0.006476193683
231	0.006457719205
232	0.006433479079
233	0.006409475359
234	0.006388337119
235	0.006370636163
236	0.006358614294
237	0.006332656728
238	0.006317394794
239	0.006300128869
240	0.006285477101
241	0.006267076819
242	0.00625642441
243	0.006238843423
244	0.006232050128
245	0.006203648988
246	0.006193449651
247	0.006177638228
248	0.006150572594
249	0.006129264094
250	0.006105657508
251	0.006082348698
252	0.00607284457
253	0.006062432386
254	0.006045703251
255	0.006033927586
256	0.006019388792
257	0.005988546779
258	0.005976533828
259	0.005959211399
260	0.005949231412
261	0.005913948803
262	0.005897136843
263	0.00588618577
264	0.005864957835
265	0.005844405987
266	0.005821194439
267	0.005803427016
268	0.005781455981
269	0.0057683909
270	0.005758829114
271	0.005749228591
272	0.005731067455
273	0.005702948365
274	0.005689453486
275	0.005676169686
276	0.005658255953
277	0.005642472479
278	0.005618327488
279	0.00560752137
280	0.005584050574
281	0.005570872177
282	0.005549669791
283	0.005520440171
284	0.005504627403
285	0.005486561033
286	0.005469028563
287	0.005458526915
288	0.005449517967
289	0.005441806217
290	0.005434008299
291	0.005416688369
292	0.005402049201
293	0.005379617764
294	0.005364589222
295	0.00535556727
296	0.005349309538
297	0.005341156409
298	0.005324532859
299	0.00530652061
